model,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,weight_kg,power_kw,cyl_factor,am_label,vs_label,speed_category,predicted,residuals,std_resid,is_outlier,hat_value,cooks_d
Mazda RX4,21,6,160,110,3.9,2.62,16.46,0,1,4,4,1188.432,82.06,6-cyl,Manual,V-shaped,Medium,23.282610646808614,-2.282610646808676,-0.7661676545050805,FALSE,0.04326895587037588,0.013274072337955382
Mazda RX4 Wag,21,6,160,110,3.9,2.875,17.02,0,1,4,4,1304.1,82.06,6-cyl,Manual,V-shaped,Medium,21.91977039576433,-0.9197703957643201,-0.30743050571535074,FALSE,0.03519676562838835,0.001723962952952175
Datsun 710,22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,1052.352,69.378,4-cyl,Manual,Straight,Slow,24.88595211862542,-2.085952118625419,-0.7057524917388868,FALSE,0.05837572519905489,0.015439366886521304
Hornet 4 Drive,21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,1458.324,82.06,6-cyl,Automatic,Straight,Slow,20.10265006103862,1.2973499389613738,0.4327511433920402,FALSE,0.03125017057660248,0.0030205581823518966
Hornet Sportabout,18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,1560.384,130.55,8-cyl,Automatic,V-shaped,Medium,18.900143957176017,-0.20014395717602299,-0.06681878865022757,FALSE,0.032921821281005514,7.599577873282308e-5
Valiant,18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,1569.456,78.33,6-cyl,Automatic,Straight,Slow,18.793254525721565,-0.6932545257215672,-0.23148309322783242,FALSE,0.0332355137588688,9.210649723663056e-4
Duster 360,14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,1619.352,182.77,8-cyl,Automatic,V-shaped,Fast,18.20536265272207,-3.9053626527220744,-1.3055221628040343,FALSE,0.03544264864205188,0.03131386076513023
Merc 240D,24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,1446.9840000000002,46.252,4-cyl,Automatic,Straight,Slow,20.236261850356687,4.163738149643308,1.388897090282521,FALSE,0.031275020007582525,0.031139184727686217
Merc 230,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,1428.84,70.87,4-cyl,Automatic,Straight,Slow,20.450040713265594,2.349959286734402,0.7839268652784396,FALSE,0.03140238387077513,0.009961857447854858
Merc 280,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,1560.384,91.758,6-cyl,Automatic,Straight,Slow,18.900143957176017,0.29985604282397704,0.10010803140725151,FALSE,0.032921821281005514,1.7058078779475482e-4
Merc 280C,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,1560.384,91.758,6-cyl,Automatic,Straight,Slow,18.900143957176017,-1.1001439571760216,-0.36728706475368944,FALSE,0.032921821281005514,0.002296167366291399
Merc 450SE,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,1846.1520000000005,134.28,8-cyl,Automatic,V-shaped,Medium,15.533126866360728,0.8668731336392635,0.29288650858200443,FALSE,0.0557517937582812,0.0025324531207287764
Merc 450SL,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,1691.928,134.28,8-cyl,Automatic,V-shaped,Medium,17.35024720108644,-0.050247201086445786,-0.016837892631388417,FALSE,0.0401086136618701,5.923263222517677e-6
Merc 450SLC,15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,1714.608,134.28,8-cyl,Automatic,V-shaped,Medium,17.08302362245031,-1.8830236224503145,-0.6315996867000843,FALSE,0.04192051623943166,0.0087272797641868
Cadillac Fleetwood,10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,2381.4,152.93,8-cyl,Automatic,V-shaped,Medium,9.22665041054797,1.1733495894520194,0.4229607085983681,FALSE,0.1704766467069298,0.018382574358737736
Lincoln Continental,10.4,8,460,215,3,5.424,17.82,0,0,3,4,2460.3264000000004,160.39,8-cyl,Automatic,V-shaped,Medium,8.296712356894222,2.103287643105768,0.769798725379352,FALSE,0.19533190677383028,0.07192515197659309
Chrysler Imperial,14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,2424.492,171.58,8-cyl,Automatic,V-shaped,Medium,8.718925611139317,5.981074388860671,2.173533139588063,FALSE,0.18379417276968688,0.5319056255997685
